               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.067748,            0.021663,                   0,              0.2372,             0.33333,             0.19375,            0.062946,            0.052366,            0.013607,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.065393,            0.018421,                   0,              0.2372,             0.33333,             0.19375,            0.062946,            0.052366,            0.013607,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.065774,            0.025924,                   0,              0.2372,             0.33333,             0.19375,            0.062946,            0.052366,            0.013607,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              0.0719,             0.02564,                   0,             0.32501,             0.66667,             0.36344,             0.13365,            0.048068,            0.013924,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,             0.05984,            0.021631,                   0,             0.32501,             0.66667,             0.36344,             0.13365,            0.048068,            0.013924,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.062507,            0.021661,                   0,             0.32501,             0.66667,             0.36344,             0.13365,            0.048068,            0.013924,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.064316,            0.020583,                   0,             0.32501,             0.66667,             0.36344,             0.13365,            0.048068,            0.013924,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.055985,            0.018138,                   0,              0.4775,             0.33333,              0.2995,             0.12989,            0.046384,            0.014088,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.060199,            0.017456,                   0,              0.4775,             0.33333,              0.2995,             0.12989,            0.046384,            0.014088,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,             0.06148,            0.019924,                   0,              0.4775,             0.33333,              0.2995,             0.12989,            0.046384,            0.014088,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.065615,            0.026436,                   0,              0.4775,             0.33333,              0.2995,             0.12989,            0.046384,            0.014088,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.061278,            0.019771,                   0,             0.47308,             0.66667,              0.5825,             0.19848,            0.043158,            0.014216,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.061519,            0.021809,                   0,             0.47308,             0.66667,              0.5825,             0.19848,            0.043158,            0.014216,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.062646,            0.025265,                   0,             0.47308,             0.66667,              0.5825,             0.19848,            0.043158,            0.014216,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.063291,            0.023254,                   0,             0.47308,             0.66667,              0.5825,             0.19848,            0.043158,            0.014216,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.061481,            0.028762,                   0,             0.36941,             0.66667,             0.54315,             0.17962,            0.041825,            0.014286,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.056342,            0.020232,                   0,             0.36941,             0.66667,             0.54315,             0.17962,            0.041825,            0.014286,                   0,           0.0074854,           0.0074854,           0.0074854
